Korean,English
내가,I
그 ,that
난 ,I am
내 ,my
안 ,not
수 ,number
이 ,this
네 ,yes
거야 ,going to be
좀 ,a little
그래 ,okay
있어 ,there is
왜 ,why
더 ,more
그리고 ,and
우리 ,we
다 ,all
무슨 ,what
한 ,one
하지만 ,but
잘 ,well
어떻게 ,how
할 ,will do
그냥 ,just
정말 ,really
그럼 ,then
것 ,thing
게 ,crab
있어요 ,there is
있는 ,there is
해 ,sun
여기 ,here
넌 ,you
제가 ,I am
날 ,me
우리가 ,we
건 ,case
전 ,jeon
이제 ,now
지금 ,now
그게 ,that is
걸 ,girl
거 ,thing
아니 ,no
네가 ,you
없어 ,doesn't exist
돼 ,To be
저 ,I
우린 ,we
제 ,my
못 ,pond
좋아 ,good
당신이 ,you
다른 ,different
나 ,me
그런 ,that
그건 ,that
너무 ,too
그래서 ,so
그렇게 ,like that
다시 ,again
이건 ,This
이런 ,this
나도 ,me too
모든 ,every
당신 ,you
거예요 ,Will
당신은 ,you are
아 ,ah
좋은 ,good
오 ,oh
때 ,at the time
너 ,you
하는 ,doing
하고 ,do
아냐 ,no
나는 ,I am
아니야 ,no
알아 ,know
같이 ,together
응 ,huh
이게 ,this
없어요 ,no
괜찮아 ,are you okay
오늘 ,today
말이야 ,Word
줄 ,line
또 ,also
널 ,you
누가 ,who
어떤 ,which
아주 ,very
말 ,word
아직 ,yet
안돼 ,no
진짜 ,really
모두 ,every
마 ,mind
같은 ,same
여기서 ,here
